Sample_name,Species,Accession,Sp_ac,Rep ,Fruit_num,Clr_cat,Phylo_pos,Seed_source,Date_started,Date_planted,Date_first_flower,Days_first_flower,Date_first_ripe_fruit,Days_ripe_fruit,Days_flow_to_fruit,Date_collected,Diameter_mm,Length_mm,Diam_lgth_ratio,Fresh_weight_grams,Seed_count,Scanned_date,Pericarp_frozen_date,Frozen_in,Frozen_method,Ripeness,Include_in_analysis,Notes,Scanned_date,Image_scan_file_name,Perimeter_inside,Area_inside,Width Mid-height_inside,Maximum Width_inside,Height Mid-width_inside,Maximum Height_inside,Curved Height_inside,Lobedness Degree_inside,Tomato Pericarp Area_inside,Tomato Pericarp Area Ratio_inside,Tomato Pericarp Thickness_inside,Tomato Pericarp Thickness Ratio_inside,Average Red_inside,Average Green_inside,Average Blue_inside,Average Luminosity_inside,Average L Value_inside,Average a Value_inside,Average b Value_inside,Average Hue_inside,Average Chroma_inside,Perimeter_outside,Area_outside,Width Mid-height_outside,Maximum Width_outside,Height Mid-width_outside,Maximum Height_outside,Curved Height_outside,Lobedness Degree_outside,Tomato Pericarp Area_outside,Tomato Pericarp Area Ratio_outside,Tomato Pericarp Thickness_outside,Tomato Pericarp Thickness Ratio_outside,Average Red_outside,Average Green_outside,Average Blue_outside,Average Luminosity_outside,Average L Value_outside,Average a Value_outside,Average b Value_outside,Average Hue_outside,Average Chroma_outside
SA-09-A-06,SA,09,SA-09,A,06,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-19,108,64,2020-07-30,17.64,15.63,1.13,2.7961,66,2020-07-30,2020-07-30,foil,liquid nitrogen,ripe,include,,2020-07-30,sa-09-a-06-400dpi.tmt,932.1758,61503,290,290,271,272,288.0143,1.2601,19901,0.3236,23.0732,0.1966,104.1341,98.9992,70.8013,82.3615,40.7224,-0.8785,16.896,92.9763,16.9188,993.3057,50671,251,258,247,250,296.1659,1.6207,22619,0.4464,25.5513,0.2087,94.3477,89.8752,73.8317,79.1674,37.1013,0.8412,10.0457,85.2135,10.0808
SA-09-B-01,SA,09,SA-09,B,01,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-07-15,134,90,2020-07-15,21.15,17.73,1.19,3.8815,86,2020-07-15,2020-07-15,foil,liquid nitrogen,ripe,include,,2020-07-15,sa-09-b-01-400dpi.tmt,1065.0458,80335,340,340,294,296,316.2272,2.5527,27189,0.3384,27.773,0.1971,111.4679,111.0076,85.0461,93.5909,45.0037,-2.6989,15.0625,100.1586,15.3024,1102.1341,67336,315,317,264,267,321.282,3.7164,30008,0.4456,30.7345,0.2032,118.9399,115.8734,102.9668,104.5234,47.1425,0.3657,8.2028,87.4476,8.211
SA-09-B-02,SA,09,SA-09,B,02,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-07-15,134,90,2020-07-15,18.52,16.02,1.16,2.8732,59,2020-07-15,2020-07-15,foil,liquid nitrogen,ripe,include,,2020-07-15,sa-09-b-02-400dpi.tmt,971.0631,66813,299,299,279,280,295.6536,1.185,25834,0.3867,29.3832,0.2007,113.2119,111.9049,86.0737,94.6696,45.4486,-2.2849,15.1061,98.6011,15.278,969.4651,60274,285,285,260,265,281.4165,1.9061,26853,0.4455,31.1536,0.2035,117.7013,112.1812,99.1539,102.0596,45.9422,1.4108,8.6026,80.6867,8.7175
SA-09-B-03,SA,09,SA-09,B,03,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-07-15,134,90,2020-07-27,21.03,17.4,1.21,3.8424,85,2020-07-27,2020-07-27,foil,liquid nitrogen,ripe,include,,2020-07-27,sa-09-b-03-400dpi.tmt,1067.389,79924,333,333,298,299,305.9195,1.9894,28336,0.3545,29.1114,0.2042,110.0561,108.8633,81.5758,90.9746,44.2222,-2.6046,15.8566,99.3282,16.0691,1057.9331,64474,313,315,258,264,305.6334,3.4729,28742,0.4458,30.6005,0.2095,119.3008,108.4371,92.6969,99.7635,44.9176,3.2056,10.8765,73.5782,11.339
SA-09-B-04,SA,09,SA-09,B,04,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-07-15,134,90,2020-07-27,20.71,17.08,1.21,3.6865,85,2020-07-27,2020-07-27,foil,liquid nitrogen,ripe,include,,2020-07-27,sa-09-b-04-400dpi.tmt,1074.4184,80409,333,333,296,300,321.3048,2.0008,25862,0.3216,25.948,0.2042,110.6866,111.3565,83.1567,92.5254,45.0206,-3.5473,16.0966,102.4281,16.4828,1039.7494,66486,308,313,259,263,291.1609,3.3207,29629,0.4456,31.9956,0.1981,122.0672,115.9792,100.8571,104.9266,47.4648,1.1811,9.8453,83.1593,9.9159
SA-09-B-05,SA,09,SA-09,B,05,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-07-15,134,90,2020-07-27,21.19,19.06,1.11,4.4924,89,2020-07-27,2020-07-27,foil,liquid nitrogen,ripe,include,,2020-07-27,sa-09-b-05-400dpi.tmt,1104.1585,85731,341,342,312,319,345.6086,1.7563,33041,0.3854,32.9063,0.2018,117.5701,115.2806,87.5232,96.9669,46.794,-2.2652,16.2395,97.9408,16.3968,1145.5727,66894,317,321,257,272,341.7942,3.489,29776,0.4451,29.1497,0.1994,120.697,115.1533,98.2515,103.0622,47.0019,0.7003,10.769,86.2795,10.7918
SA-09-C-01,SA,09,SA-09,C,01,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-23,112,68,2020-06-23,21.14,19.05,1.11,4.5133,140,2020-06-23,2020-06-23,foil,liquid nitrogen,ripe,include,,2020-06-23,sa-09-c-01-400dpi.tmt,1098.259,86191,344,344,314,315,336.5364,1.4721,29123,0.3379,28.8314,0.2006,98.6659,100.177,71.5358,81.5829,40.5347,-3.8228,16.2282,103.2554,16.6724,1056.2468,65976,294,299,274,278,313.2962,1.2573,29395,0.4455,31.1977,0.2007,111.245,110.646,88.0142,94.1464,44.7532,-2.2393,13.1614,99.6557,13.3505
SA-09-C-02,SA,09,SA-09,C,02,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-23,112,68,2020-06-23,20.63,18.46,1.12,4.4521,159,2020-06-23,2020-06-23,foil,liquid nitrogen,ripe,include,,2020-06-23,sa-09-c-02-400dpi.tmt,1079.4895,83233,330,330,312,313,334.2786,1.3561,28137,0.3381,28.3186,0.197,96.7487,96.941,67.7018,78.5354,39.3656,-3.3048,16.7664,101.1507,17.089,1025.1636,63277,283,285,280,280,300.3464,0.9925,28207,0.4458,30.8984,0.2049,113.0738,112.2487,90.0008,95.8775,45.4038,-2.106,12.986,99.2117,13.1557
SA-09-C-03,SA,09,SA-09,C,03,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-23,112,68,2020-06-23,20.58,18.28,1.13,4.1653,141,2020-06-23,2020-06-23,foil,liquid nitrogen,ripe,include,,2020-06-23,sa-09-c-03-400dpi.tmt,1072.8032,82325,334,335,305,306,324.9584,1.5054,29148,0.3541,29.5831,0.203,103.394,103.9864,75.4371,85.2983,42.065,-3.4972,16.2948,102.1132,16.6658,1057.1047,64750,286,293,278,280,313.8127,0.9908,28820,0.4451,30.712,0.1993,119.5864,115.7722,93.4506,100.3029,47.0128,-0.9241,13.4081,93.9427,13.4399
SA-09-C-04,SA,09,SA-09,C,04,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-23,112,68,2020-06-30,21.49,19.32,1.11,4.5644,156,2020-06-30,2020-06-30,foil,liquid nitrogen,ripe,include,,2020-06-30,sa-09-c-04-400dpi.tmt,1117.2296,88911,344,344,327,329,342.783,1.3554,30011,0.3375,29.1995,0.2006,105.2743,105.9992,76.2586,86.8167,42.8204,-3.7383,16.9207,102.4584,17.3287,1120.4184,74923,314,321,292,296,337.4836,1.7369,33337,0.445,33.3944,0.1981,126.217,119.8426,102.1528,107.4761,48.8306,0.8922,11.3134,85.4911,11.3485
